STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
00000000MING001,75,8.8,3.4,7,7,7
00000000MING002,20,27.4,6.5,7,7,7
00000000MING003,30,15.2,4.7,8,8,8
00000000MING004,30,15.2,4.7,8,8,8
00000000MINGO05,1,8.5,4.2,4,6,5
00000000MINGO06,100,28.3,6.8,7,8,7
0000000MINGO011,100,15.8,6.5,7,7,7
0000000MINGO021,100,6.7,5.3,N,N,N
0000000MINGO031,5,6.7,4.1,N,N,N
0000000MINGO081,100,19.5,6.1,7,7,7
0000000MINGOT02,3,7.9,4.1,N,N,N
000033560-00055,20,11.9,4.6,7,7,7
000033560-00127,30,25,6.8,7,7,7
000033560-00132,35,25,6.8,7,7,7
90505000003031,50,8.8,6.1,6,6,6
90506000003025,50,13.2,0,N,N,N
1,20703,61.6,28.5,7,7,8
10,8404,6.4,0,N,N,N
100,32772,6.6,0,N,N,N
1000,14637,120.4,9.6,7,7,6
10000,279,15.5,7.2,6,6,6
10001,279,9.2,6.5,N,N,N
10005,338,8.8,6.8,N,N,N
10007,976,7.8,6.7,N,N,N
10008,976,11.7,6.7,N,N,N
1001,32996,8.8,25.9,7,7,7
10010,2894,6.5,8,N,N,N
10012,2632,6.1,7.9,N,N,N
10013,1071,27.4,7.2,3,3,4
10014,467,7.6,7,N,N,N
10017,406,7.3,8,9,9,7
10019,176,8.7,8,N,N,N
1002,9208,7.7,0,N,N,N
10020,176,6.8,7.9,N,N,N
10022,3065,10.3,6.1,N,N,N
10026,432,8,6.1,N,N,N
10027,738,23.2,7.2,5,6,6
1003,8662,30.2,10.5,5,5,7
10031,162,6.7,9.6,N,5,6
10038,264,29.9,6.8,5,6,5
1004,9319,52.4,12.4,6,6,7
10041,6208,16.2,13.8,7,9,6
1005,9381,52.4,12.4,6,6,7
10050,1582,6.1,7.9,4,5,5
10051,8557,46.6,12.4,7,7,6
10052,2280,7.6,12.6,N,N,N
10058,7082,8,6.7,N,N,N
1006,8557,72.5,12.4,7,8,7
10060,4063,13.2,0,N,N,N
10062,8098,135.6,8.1,6,6,7
10065,1483,553.8,7.5,6,6,6
10066,5725,8,0,N,N,N
10067,4692,8.7,6.7,N,N,N
10069,4369,115.5,14.3,6,7,6
1007,8957,72.5,12.4,7,8,7
10071,482,115.2,11.2,6,8,6
10072,482,15,0,N,N,N
10074,11008,10.1,0,N,N,N
10075,3862,14.3,0,N,N,N
10076,2938,81.4,12.7,7,6,8
10077,1531,60,12.6,7,7,7
10078,1528,143,12.6,6,8,7
10079,12703,104.2,12.6,7,7,6
1008,2063,25.6,11.2,5,5,6
10080,9488,18.9,0,N,N,N
10081,11008,229.2,14.2,7,6,7
10082,27582,48.2,19.8,5,5,5
10086,50157,17.1,37,6,7,8
1009,10370,68,10.2,5,6,6
101,5574,16.7,0,N,N,N
1010,9983,68,10.2,5,6,6
1011,1263,35.7,8.4,6,6,6
1013,36074,95.7,22.1,7,7,7
1014,81233,95.7,18,7,7,7
1015,12086,95.7,12.3,7,7,7
1016,1155,47.2,9,6,7,7
10164,4887,107.8,12.6,7,8,7
10166,13216,476.1,9,7,9,7
1017,1155,46.9,9,6,7,6
10171,4252,7.4,0,N,N,N
1018,8121,105.8,10.5,6,7,6
1019,8689,105.8,10.5,6,7,6
1020,3033,89.3,8.1,6,6,7
1021,66512,63.1,20.4,6,6,7
1022,76999,63.1,20.4,5,5,6
1023,222617,11.7,0,N,N,N
1024,222617,100.3,46.7,6,4,5
1025,39207,78,20.8,6,7,5
1026,46307,78,20.8,6,7,6
1027,1417,68,9.3,6,7,6
1028,2278,7.2,0,N,N,N
1029,2650,16.3,0,N,N,N
103,7747,80.8,10,8,6,7
1030,2650,30.8,9.6,5,5,7
10303,18017,7.7,0,N,N,N
1031,5604,374.9,9.4,5,5,5
1032,530,107.6,9,6,6,7
1033,2428,214.1,9.3,4,6,5
1034,856,12.8,13.7,N,N,N
1035,1056,59.1,9.3,8,6,7
10352,90,6.1,5.6,5,5,7
1036,3368,90.8,9,6,7,7
1037,29757,74.7,20.6,7,5,5
1038,771,48.8,9.3,9,6,8
1039,13257,72.8,17.3,6,6,6
104,9,61.9,8.1,5,5,5
1040,13317,10.6,0,N,N,N
1041,6540,72.5,10.8,6,6,6
1042,100335,9,0,N,N,N
1043,100335,8.1,0,N,N,N
1044,4228,9.6,0,N,N,N
1045,47209,59.7,14.3,7,7,7
1046,47507,59.7,14.3,6,6,7
1049,1345,123.7,9,6,7,6
105,1830,63.1,9.3,5,5,6
1051,3552,70.4,9.4,6,6,7
1052,13669,10.1,12.2,7,7,6
1053,59414,198.1,22.2,6,6,6
1054,183,64.6,8.4,6,6,7
10565,3917,57.3,12.8,7,8,7
1058,3085,7,0,N,N,N
1059,6078,278.6,10.4,4,4,7
106,630,61,8.1,3,5,6
1060,632,73.8,9.9,5,5,8
1061,20991,7.6,0,N,N,N
1062,11109,74.1,12.2,6,7,8
1063,9882,74.1,12.2,6,7,7
1064,1267,99.4,9.9,6,6,8
1065,9539,32,12.2,6,6,7
1066,9466,32,12.2,6,6,7
1067,9901,108.2,10.5,5,5,4
1068,9826,116.1,10.5,6,5,6
1069,9018,186.5,10.5,8,5,7
107,519,63.1,8.1,3,3,6
1070,9196,186.5,10.5,8,6,7
1071,2526,8.1,15.2,N,N,N
1072,9491,63.4,12.6,6,6,6
1073,5625,47.9,14.3,5,7,7
1074,1792,12.4,0,N,N,N
1075,3536,55.5,9.6,6,8,7
1076,13144,45.7,13.9,6,6,7
1077,15496,45.7,13.9,6,6,7
1078,28640,48.2,23,7,7,7
1079,13144,51.2,9.4,6,6,7
108,78,61,8.1,6,6,6
1080,15496,51.2,9.4,6,6,6
1082,4019,54.3,8.1,6,6,6
1083,18490,62,20.6,6,6,6
1084,2539,107.6,9,5,7,7
1085,10647,93.3,8.1,4,4,6
1086,4579,74.1,9.6,6,6,7
1088,5398,60.7,14.3,6,7,6
1089,1638,9.9,16.2,N,N,N
109,330,66.1,8.1,5,5,6
1090,6049,18.4,0,N,N,N
1091,5002,78,10.6,6,7,7
1092,1285,9,13.1,N,N,N
1093,47209,73.5,22.9,7,8,8
1094,44266,73.5,22.9,7,8,8
1095,18505,103,12,6,6,7
1096,17801,103,12,6,6,7
1097,17554,55.5,12,8,7,7
1098,17801,55.5,12,8,7,7
1099,18221,56.4,12.2,7,7,7
110,56,61,8.1,7,6,6
1100,15187,56.4,12.2,8,7,7
1101,18221,53.6,12.2,7,8,7
1102,15187,53.6,12.2,8,7,7
1103,1324,37.5,9.2,6,6,6
1104,11100,12.9,0,N,N,N
1105,27298,56.1,13,7,7,8
1106,30033,56.1,13,7,8,8
1107,7336,51.5,9.6,6,8,6
111,2445,58.1,9.6,9,7,7
1110,5323,59.7,9.6,4,7,6
1112,1045,65.5,9,5,6,6
1113,36526,68.3,12.2,7,7,7
1114,36058,68.3,12.2,7,7,7
1115,35566,66.1,12.2,7,7,7
1116,38787,66.1,12.2,6,7,6
1117,80867,8.3,0,N,N,N
1118,42080,70.7,13.4,6,6,5
1119,38787,70.7,13.4,6,6,6
112,2671,90.8,17.5,3,3,4
1120,1818,31.1,9,6,7,6
1121,1818,36.3,9,6,6,6
1129,3462,74.1,12.1,5,5,6
113,2344,78.9,8.5,3,3,3
1130,453,40.5,9,6,8,7
1131,1782,6.4,14.9,N,N,N
1132,419,144.5,8.4,8,7,7
1133,17554,71,12,7,7,7
1134,14631,71,12,7,7,7
1135,2608,8.1,0,N,N,N
1137,878,83.2,9.7,9,6,7
1138,10557,44.8,12.4,6,7,7
1139,6968,44.8,12.4,6,7,6
1140,1885,71.3,10.6,5,7,5
1141,10644,89,10.6,6,7,7
1142,2583,333.8,8.8,6,5,6
1143,786,96.3,9,4,5,5
1144,680,61.9,9,9,6,7
1145,2088,12.3,14.5,N,N,N
1147,531,129.5,9,4,5,7
1148,688,61.9,8.8,7,7,6
1149,542,59.4,8.8,6,6,6
1150,1014,45.1,8.8,5,6,7
1151,603,50.9,9.3,5,7,6
1152,603,168.2,9.3,5,7,7
1153,3392,76.5,9.3,7,6,6
1154,840,12.4,0,N,N,N
1155,6306,47.2,12.4,9,7,7
1156,7201,47.2,12.4,9,6,7
1157,1103,70.4,13,9,7,7
1158,5904,133.2,9.9,6,7,5
1159,2421,74.4,10.1,6,5,6
1160,9796,159.1,10.1,6,6,5
1161,3737,25.3,10.6,6,6,7
1162,6344,25.3,13,7,7,7
1163,1220,36.6,9.4,7,8,8
1164,824,7.6,12.5,N,N,N
1165,1150,35.7,9.3,9,7,6
1166,2500,13.3,0,N,N,N
1167,2500,13.3,0,N,N,N
1168,1040,25.6,9.6,6,6,7
1169,667,25.6,9.6,6,6,7
1171,930,63.4,9,4,7,6
1172,1160,241.7,9.1,6,6,6
11729,12041,36,9.6,7,7,7
1173,976,147.2,9,6,7,8
11730,7744,48.5,12.6,7,8,8
11731,15791,48.5,9.6,7,7,7
11732,57988,967.7,21.7,6,6,6
11733,6050,64.3,13,7,6,7
11734,5213,26.5,13,7,7,7
11735,3917,131.4,12.8,7,7,7
11736,62217,14.6,0,N,N,N
11737,5804,73.2,24.7,7,9,8
11738,17014,306,9,6,8,7
11739,22368,138.7,17.6,6,7,8
1174,9679,126.5,10.6,6,7,7
11740,2839,100.9,12.6,7,7,7
11741,8666,97.8,12.6,6,7,8
11742,6573,120.4,22.2,7,7,7
11743,3706,108.2,12.6,7,6,8
11744,7371,74.7,12.6,8,9,8
11745,8680,74.7,12.6,8,9,9
11746,8680,39.3,12.6,7,9,9
11747,8110,39.3,12.6,7,9,9
11748,841,87.5,12.6,7,9,7
11749,2109,76.5,12.6,7,8,7
1175,9679,58.8,10.6,6,6,7
11750,7735,48.5,12.6,7,9,8
11751,1638,7.7,0,N,N,N
11752,8680,82.6,12.6,8,9,9
11753,8110,82.6,12.6,8,9,9
11754,8680,72.8,12.6,8,8,8
11755,8110,72.8,12.6,8,7,9
11756,7825,85.6,12.6,7,7,7
11757,7735,85.6,12.6,7,7,8
11758,1253,7,0,N,N,N
11759,966,36.3,9,7,8,8
1176,32178,61,23.1,6,6,7
11760,5408,55.2,11.4,8,8,8
11761,25440,66.8,22.4,7,7,7
11762,4988,13.9,0,N,N,N
11763,367,46.3,11.6,8,7,6
11764,4541,110.9,9,7,9,9
11765,2072,9.4,0,N,N,N
11766,17646,79.9,13,7,7,8
11767,8059,6.4,15.6,N,N,N
11768,18534,502.3,13,6,6,7
11769,64064,983.6,26.3,6,6,6
1177,29662,108.2,23,6,6,6
11770,8054,341.7,12.6,6,7,7
11771,8848,12.4,0,N,N,N
11772,455,80.8,9.4,7,7,7
11773,455,57.9,9.4,7,9,8
11774,8638,45.1,12.6,8,9,7
11775,8660,45.1,12.6,8,9,7
11776,3577,49.7,13.9,7,7,9
11777,4013,52.1,13.9,7,7,7
11778,200,100.3,11.6,7,9,8
11779,414,11.1,14.3,N,N,N
1178,1,52.1,10.3,5,5,6
11780,3748,80.2,14,7,8,7
